"","CountryCode","CountryName","AverageGDP","AverageCtrpt","AverageGrowthRate","AverageFertility","latitude","longitude"
"1","AFG","Afghanistan",1788.81151097058,21.8333333333333,2.24985714285714,5.53742857142857,33,65
"2","AGO","Angola",6302.60982109483,13.7,2.80571428571429,5.48571428571429,-12.5,18.5
"3","ARG","Argentina",19699.6233206108,68.35,0.989285714285714,2.33191428571429,-34,-64
"4","ARM","Armenia",7918.49788870455,56,-0.115428571428571,1.63422857142857,40,45
"5","AUS","Australia",44392.3153188445,67.8,1.10685714285714,1.77225714285714,-27,133
"6","AUT","Austria",46996.5965785422,65.7,0.495285714285714,1.44657142857143,47.3333,13.3333
"7","BDI","Burundi",793.197524998341,26.8,3.26814285714286,6.18542857142857,-3.5,30
"8","BEL","Belgium",43602.8009519094,66.8,0.810714285714286,1.79924285714286,50.8333,4
"9","BEN","Benin",1999.48672338866,15.4,2.84514285714286,5.12971428571429,9.5,2.25
"10","BFA","Burkina Faso",1571.50259941346,20.15,3.05757142857143,5.99942857142857,13,-2
"11","BGD","Bangladesh",2991.10522942279,61.7666666666667,1.05857142857143,2.28857142857143,24,90
"12","BIH","Bosnia and Herzegovina",10834.1561089103,45.8,-0.0991428571428571,1.24787142857143,44,18
"13","BLR","Belarus",17775.4651062883,63.1,-0.191571428571429,1.4597,53,28
"14","BLZ","Belize",8210.33664451495,53.3,1.96571428571429,3.08495714285714,17.25,-88.75
"15","BRA","Brazil",15353.5443959069,80.2,0.829428571428572,1.80742857142857,-10,-55
"16","BRB","Barbados",15937.7563151476,59.2,0.338714285714286,1.68205714285714,13.1667,-59.5333
"17","BTN","Bhutan",7525.52215433804,65.6,1.15714285714286,2.08714285714286,27.5,90.5
"18","CAF","Central African Republic",733.330209051899,15.2,2.137,4.51802857142857,7,21
"19","CHE","Switzerland",59208.6274697065,72.9,0.859857142857143,1.53455714285714,47,8
"20","CMR","Cameroon",2955.71388493086,28.9,2.61728571428571,4.88285714285714,6,12
"21","COD","Congo",716.70039433387,37.4,2.32542857142857,4.85964285714286,0,25
"22","COG","Congo",5542.01694768108,37.4,2.32542857142857,4.85964285714286,-1,15
"23","COM","Comoros",1470.16499399397,19.4,1.97128571428571,3.93285714285714,-12.1667,44.25
"24","CRI","Costa Rica",14718.8541931127,79.2,1.26614285714286,1.9144,10,-84
"25","DOM","Dominican Republic",12880.2553347688,70.7,1.27971428571429,2.38714285714286,19,-70.6667
"26","DZA","Algeria",13867.6045116937,57.1,1.885,2.77792857142857,28,3
"27","EGY","Egypt",10321.0756822254,58.5,2.53885714285714,3.5711,27,30
"28","ETH","Ethiopia",1409.12055289219,36.1166666666667,2.89728571428571,5.31,8,38
"29","FRA","France",39306.3163932206,83,0.478571428571429,2.07952857142857,46,2
"30","GAB","Gabon",16936.6498517519,31.1,1.966,4.52382857142857,-1,11.75
"31","GEO","Georgia",8546.17633776001,53.4,0.124571428571429,1.79718571428571,42,43.5
"32","GHA","Ghana",3815.80851766451,27.3857142857143,2.20628571428571,4.12174285714286,8,-2
"33","GIN","Guinea",1251.62486890723,5.6,2.636,4.9877,11,-10
"34","GMB","Gambia",1639.92310166487,11.15,2.27957142857143,3.98077142857143,13.4667,-16.5667
"35","GNB","Guinea-Bissau",1476.89495756934,15.1,1.947,4.36998571428571,12,-15
"36","GNQ","Equatorial Guinea",31446.2497845516,12.6,2.57585714285714,4.74114285714286,2,10
"37","GTM","Guatemala",7318.77320608522,60.6,1.90357142857143,3.08771428571429,15.5,-90.25
"38","GUY","Guyana",6894.0751972887,33.9,-0.218285714285714,2.21172857142857,5,-59
"39","HND","Honduras",4340.95813569002,73.2,1.78671428571429,2.93914285714286,15,-86.5
"40","HTI","Haiti",1667.2505624607,34.5,1.19842857142857,3.06028571428571,19,-72.4167
"41","IDN","Indonesia",10044.7178710969,61.4125,0.990285714285714,2.20257142857143,-5,120
"42","IND","India",5429.75830785109,53.5,1.28214285714286,2.54914285714286,20,77
"43","IRQ","Iraq",15009.3221359226,52.5,3.62742857142857,4.24,33,44
"44","JOR","Jordan",9121.76515188601,61.2,3.50028571428571,3.3208,31,36
"45","JPN","Japan",38547.9814291829,40.4,-0.118142857142857,1.39242857142857,36,138
"46","KAZ","Kazakhstan",23316.0088433066,53.35,1.19885714285714,2.376,48,68
"47","KEN","Kenya",2805.71988188421,60.1,2.26928571428571,3.7569,1,38
"48","KHM","Cambodia",3121.79785917964,53.4,1.64671428571429,2.72257142857143,13,105
"49","LAO","Lao People's Democratic Republic",5087.57539714388,49.8,1.62228571428571,2.98314285714286,18,105
"50","LBR","Liberia",793.934982026807,20.2,2.57771428571429,4.9171,6.5,-9.5
"51","LCA","Saint Lucia",11050.9851454945,55.5,0.362857142857143,1.78485714285714,13.8833,-61.1333
"52","LSO","Lesotho",2725.64845236753,55.45,0.320857142857143,2.83371428571429,-29.5,28.5
"53","MAR","Morocco",7214.10249248204,67.4,1.03542857142857,2.17114285714286,32,-5
"54","MDA","Republic of Moldova",4685.99153323837,59.5,-1.01971428571429,1.5515,47,29
"55","MEX","Mexico",16640.012337362,69.6,1.28257142857143,2.30384285714286,23,-102
"56","MLI","Mali",1948.41955509848,12.95,3.007,6.25,17,-4
"57","MNE","Montenegro",15244.049360455,23.3,-0.563142857142857,1.50552857142857,42,19
"58","MNG","Mongolia",10641.8256600877,54.75,1.41985714285714,2.265,46,105
"59","MOZ","Mozambique",1078.30895524019,11.6,2.41742857142857,5.33602857142857,-18.25,35
"60","MRT","Mauritania",3641.76124004133,14.6,2.29028571428571,4.14857142857143,20,-12
